"id","title","original_title","year","runtime","poster_url","director","writer","cast","production_country","production_companies","genre","tag","keyword","plot","rating","vote_count","popularity","language","mprating","mprated_reason","awards","trailer_url"
"tt0437086","Alita: Battle Angel","Alita: Battle Angel",2019,122,"https://m.media-amazon.com/images/M/MV5BYmZhZGQzM2MtMWEyZC00YTU1LTk4YTQtMTg3ZjEzM2U1NTkxXkEyXkFqcGc@._V1_.jpg","[""Robert Rodriguez""]","[""James Cameron"", ""Laeta Kalogridis"", ""Yukito Kishiro""]","[""Rosa Salazar"", ""Christoph Waltz"", ""Jennifer Connelly"", ""Mahershala Ali"", ""Ed Skrein"", ""Jackie Earle Haley"", ""Keean Johnson"", ""Jorge Lendeborg Jr."", ""Lana Condor"", ""Idara Victor"", ""Jeff Fahey"", ""Eiza González"", ""Derek Mears"", ""Leonard Wu"", ""Racer Rodriguez"", ""Marko Zaror"", ""Rick Yune"", ""Hugo Perez""]","[""Japan"", ""Canada"", ""United States""]","[""Twentieth Century Fox"", ""Lightstorm Entertainment"", ""Troublemaker Studios""]","[""Action"", ""Adventure"", ""Sci-Fi"", ""Thriller""]","[""Cyberpunk"", ""Dystopian Sci-Fi"", ""Quest"", ""Action"", ""Adventure"", ""Sci-Fi"", ""Thriller""]","[""cyborg"", ""female cyborg"", ""cyberpunk"", ""female protagonist"", ""based on manga"", ""dystopia"", ""live action remake of anime"", ""martial arts"", ""deadly sport"", ""bounty hunter"", ""strong female lead"", ""adaptation"", ""warrior"", ""scientist"", ""future"", ""floating city"", ""gun free zone"", ""sword"", ""amnesia"", ""cut into pieces"", ""injury"", ""dog"", ""kiss"", ""sky city"", ""bloodsport"", ""futuristic"", ""body parts"", ""preserved body part"", ""underground"", ""wheels for feet"", ""fight"", ""death of dog"", ""capitalism"", ""open ended"", ""love"", ""love interest"", ""explosion"", ""robot"", ""gatling gun"", ""hand to hand combat"", ""kicked in the stomach"", ""punched in the face"", ""junkyard"", ""death"", ""violence"", ""tough girl"", ""female warrior"", ""stadium"", ""memory"", ""battle"", ""loss of friend"", ""death of loved one"", ""spectator sport"", ""nighttime"", ""crying cyborg"", ""live action shounen"", ""space station"", ""dystopian future"", ""death of friend"", ""character name in title"", ""surprise ending"", ""flashback"", ""ambush"", ""trap"", ""cgi"", ""dismemberment"", ""cut in half"", ""self healing"", ""lost knowledge"", ""killed with a sword"", ""decapitation"", ""animal cruelty"", ""stray dog"", ""pool of blood"", ""organ harvesting"", ""killing a dog"", ""underwater scene"", ""year 2563"", ""garbage dump"", ""fictional sport"", ""mercenary"", ""man cut in half"", ""machine parts"", ""body control"", ""cut to pieces"", ""taking control of someone's body"", ""wanted man"", ""father figure"", ""death of daughter"", ""lost technology"", ""falling in love"", ""one against many"", ""remembering the past"", ""holding a severed head"", ""sword wound"", ""severed head"", ""bar fight"", ""cyber dog"", ""fighting style"", ""chocolate""]","A deactivated cyborg's revived, but can't remember anything of her past and goes on a quest to find out who she is.",7.3,317155,592.0,"[""English"", ""Spanish""]","PG-13","sequences of sci-fi violence and action, and for some language","10 wins & 25 nominations total","https://www.imdb.com/video/vi3682056729/"
"tt6823368","Glass","Glass",2019,129,"https://m.media-amazon.com/images/M/MV5BMTY1OTA2MjI5OV5BMl5BanBnXkFtZTgwNzkxMjU4NjM@._V1_.jpg","[""M. Night Shyamalan""]","[""M. Night Shyamalan""]","[""James McAvoy"", ""Bruce Willis"", ""Samuel L. Jackson"", ""Anya Taylor-Joy"", ""Sarah Paulson"", ""Spencer Treat Clark"", ""Charlayne Woodard"", ""Luke Kirby"", ""Adam David Thompson"", ""M. Night Shyamalan"", ""Shannon Destiny Ryan"", ""Diana Silvers"", ""Nina Wisner"", ""Kyli Zion"", ""Serge Didenko"", ""Russell Posner"", ""Kimberly S. Fairbanks"", ""Rosemary Howard""]","[""United States"", ""China""]","[""Buena Vista International"", ""Universal Pictures"", ""Blinding Edge Pictures""]","[""Drama"", ""Horror"", ""Sci-Fi"", ""Thriller""]","[""Psychological Drama"", ""Psychological Horror"", ""Psychological Thriller"", ""Superhero"", ""Drama"", ""Horror"", ""Sci-Fi"", ""Thriller""]","[""glass"", ""supernatural power"", ""dissociative identity disorder"", ""character name in title"", ""violence"", ""flashback"", ""comic book store"", ""comic book"", ""comic book shop"", ""killing spree"", ""murder spree"", ""cheerleader"", ""third part"", ""super villain"", ""evil mastermind"", ""father son relationship"", ""throat slit"", ""water"", ""video surveillance"", ""surveillance camera"", ""view through video camera"", ""video footage"", ""train station"", ""villain as protagonist"", ""widower"", ""death of wife"", ""mother son relationship"", ""tragic villain"", ""murder of son"", ""younger version of character"", ""director cameo"", ""vigilante"", ""drowned man"", ""murder by drowning"", ""villain"", ""shot to death"", ""returning character killed off"", ""reference to hello kitty"", ""superhero origin"", ""throat cut with a shard of glass"", ""clover leaf tattoo"", ""secret society"", ""sniper"", ""bullying"", ""murder of father"", ""christmas decoration"", ""christmas tree"", ""roller skates"", ""psychiatric hospital"", ""voice over narration"", ""non comic book superhero"", ""unchained"", ""scream"", ""transformation"", ""shop"", ""intruder"", ""lights off"", ""corner store"", ""convenience store"", ""bound in chains"", ""woman bound in chains"", ""rescue"", ""gps"", ""electronic monitoring"", ""frightened girl"", ""teenage girl"", ""homeless man"", ""criminal"", ""shutter"", ""urchin"", ""customer"", ""industrial area"", ""bald man"", ""old man"", ""cloak"", ""undressing"", ""dancing"", ""man dancing"", ""dancing in the street"", ""barrel"", ""barrel fire"", ""pain"", ""man in pain"", ""growling"", ""fight"", ""scuffle"", ""brawl"", ""justice"", ""closed circuit television camera"", ""surveillance"", ""security guard"", ""institution"", ""bearded man"", ""name tag"", ""office"", ""working at night"", ""x ray"", ""student"", ""closed circuit tv surveilance"", ""closed circuit tv""]","Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities.",6.6,297765,714.0,"[""English"", ""Spanish""]","PG-13","violence including some bloody images, thematic elements, and language","2 wins & 15 nominations total","https://www.imdb.com/video/vi768195097/"
"tt5886046","Escape Room","Escape Room",2019,99,"https://m.media-amazon.com/images/M/MV5BMjQ2NDMwMTY3MF5BMl5BanBnXkFtZTgwNDg5OTc1NjM@._V1_.jpg","[""Adam Robitel""]","[""Bragi F. Schut"", ""Maria Melnik""]","[""Taylor Russell"", ""Logan Miller"", ""Jay Ellis"", ""Tyler Labine"", ""Deborah Ann Woll"", ""Nik Dodani"", ""Yorick van Wageningen"", ""Cornelius Geaney Jr."", ""Russell Crous"", ""Bart Fouche"", ""Jessica Sutton"", ""Paul Hampshire"", ""Vere Tindale"", ""Kenneth Fok"", ""Caely-Jo Levy"", ""Jamie-Lee Money"", ""Jeremy Boado"", ""Inge Beckmann""]","[""United States"", ""South Africa""]","[""Columbia Pictures"", ""Original Film"", ""Department of Trade and Industry of South Africa""]","[""Action"", ""Adventure"", ""Horror"", ""Mystery"", ""Sci-Fi"", ""Thriller""]","[""B-Action"", ""B-Horror"", ""Psychological Horror"", ""Psychological Thriller"", ""Suspense Mystery"", ""Whodunnit"", ""Action"", ""Adventure"", ""Horror"", ""Mystery""]","[""escape room"", ""puzzle"", ""teamwork"", ""clue"", ""code"", ""box"", ""evil corporation"", ""reference to fahrenheit 451"", ""chicago illinois"", ""trapped under ice"", ""parka"", ""compass"", ""mysterious box"", ""glass of water"", ""fire"", ""key"", ""fishing rod"", ""cigarette lighter"", ""billiards"", ""survivor"", ""oxygen mask"", ""falling through ice"", ""quantum zeno effect"", ""screwdriver"", ""reference to rudolph the red nosed reindeer"", ""sliding puzzle"", ""reference to one direction"", ""eight ball"", ""pool table"", ""smashing a surveillence camera"", ""defibrillator"", ""singing in a car"", ""flashback"", ""falling from height"", ""drowning"", ""telephone"", ""snowing"", ""snow"", ""magnet"", ""poison"", ""reference to m. c. escher"", ""waking up from a nightmare"", ""puzzle box"", ""confiscating a phone"", ""crawling through an air shaft"", ""flask"", ""christmas carol"", ""climbing a tree"", ""electrocardiogram"", ""survival"", ""game"", ""airplane"", ""cigarette smoking"", ""redheaded woman"", ""teenage girl"", ""elevator"", ""falling to death"", ""breaking through ice"", ""closed door"", ""moving wall"", ""death"", ""heat"", ""cold"", ""ice"", ""waiting room"", ""reference to judi dench"", ""reference to twister the game"", ""water cooler"", ""thermometer"", ""sole survivor"", ""x ray"", ""sociopath"", ""hazmat suit"", ""garrote"", ""gun"", ""shy girl"", ""loner"", ""antidote"", ""riddle"", ""fire extinguisher"", ""hidden key"", ""mannequin"", ""trauma"", ""invisible barrier"", ""scarred neck"", ""sign language"", ""heart attack"", ""death by heart attack"", ""gas poisoning"", ""escape"", ""snow adventure"", ""thanksgiving"", ""lighting a cigarette"", ""gamer"", ""walls close in"", ""banker"", ""cube"", ""overhead camera shot"", ""reference to google"", ""newspaper""]","Six strangers find themselves in a maze of deadly mystery rooms and must use their wits to survive.",6.4,155087,"","[""Goofs"", ""English""]","PG-13","terror/perilous action, violence, some suggestive material and language","2 wins & 7 nominations total","https://www.imdb.com/video/vi1755167257/"
"tt8378126","Queen of Hearts","Dronningen",2019,127,"https://m.media-amazon.com/images/M/MV5BZTNmNmY4MzctOTJiZC00ZWY4LTg3MDQtOTViMzc2N2Y2MjVhXkEyXkFqcGc@._V1_.jpg","[""May el-Toukhy""]","[""Maren Louise Käehne"", ""May el-Toukhy""]","[""Trine Dyrholm"", ""Gustav Lindh"", ""Magnus Krepper"", ""Liv Esmår Dannemann"", ""Silja Esmår Dannemann"", ""Stine Gyldenkerne"", ""Preben Kristensen"", ""Frederikke Dahl Hansen"", ""Ella Solgaard"", ""Carla Philip Røder"", ""Peter Khouri"", ""Mads Knarreborg"", ""Marie Dalsgaard"", ""Elias Budde Christensen"", ""Noel Bouhon Kiertzner"", ""Mathias Rahbæk"", ""Nessie Beik"", ""Stanley Bakar""]","[""Denmark"", ""Sweden""]","[""Nordisk Film Production"", ""Det Danske Filminstitut"", ""Svenska Filminstitutet (SFI)""]","[""Drama""]","[""Coming-of-Age"", ""Drama""]","[""stepmother stepson sex"", ""sex with stepmother"", ""stepmother stepson relationship"", ""extramarital affair"", ""unfaithful wife"", ""stepmother stepson incest"", ""christmas"", ""manipulative wife"", ""nipples visible through clothing"", ""breast fondling"", ""triple f rated"", ""manipulative stepmother"", ""female sexual predator"", ""dysfunctional family"", ""female nudity"", ""man fondles a woman's breasts"", ""sex scene"", ""stepmother stepson affair"", ""husband wife relationship"", ""father son relationship"", ""sister sister relationship"", ""hypocrisy"", ""adultery"", ""unpunished sex crime"", ""female orgasm"", ""sex from behind"", ""female star appears nude"", ""female topless nudity"", ""female rear nudity"", ""female full frontal nudity"", ""lawyer as protagonist"", ""family relationships"", ""stepbrother stepsister relationship"", ""disbelief"", ""blackmail"", ""psychological manipulation"", ""sexual attraction"", ""sex crime"", ""abusive stepmother"", ""emotionally abusive behavior"", ""hypocritical woman"", ""abused girl"", ""emotionally abusive woman"", ""emotional abuse"", ""breakup"", ""awkward situation"", ""learning the truth"", ""evidence"", ""audio tape"", ""antagonist as protagonist"", ""secret relationship"", ""estranged stepmother"", ""missing son"", ""destroying evidence"", ""flash forward"", ""sexually dissatisfied wife"", ""death of son"", ""sex with stepson"", ""female pubic hair"", ""horny wife"", ""erection"", ""midlife crisis"", ""tape recorder"", ""courtroom"", ""swimming in a lake"", ""hide and seek"", ""title directed by female"", ""adulterous wife"", ""female attorney"", ""female lawyer"", ""seductress"", ""erotic thriller"", ""blonde woman"", ""lake"", ""refrigerator"", ""tattooed man"", ""keychain"", ""in medias res"", ""f rated"", ""woods"", ""upside down camera shot"", ""manicure"", ""matronizing"", ""abuse of power"", ""nosy stepmother"", ""identical twin sisters"", ""drunken woman"", ""projection"", ""post coital scene"", ""humming"", ""water pistol"", ""birthday gift"", ""lawnmower"", ""car accident"", ""martyr syndrome"", ""selfish wife"", ""egocentric woman"", ""sociopath"", ""female sociopath"", ""sociopath as protagonist""]","A successful lawyer jeopardizes her career and threatens to tear her family apart after engaging in an affair with her teenage stepson.",7.0,16404,"","[""Danish"", ""Swedish"", ""English""]","","","26 wins & 20 nominations total","https://www.imdb.com/video/vi3607214617/"
"tt2481498","Extremely Wicked, Shockingly Evil and Vile","Extremely Wicked, Shockingly Evil and Vile",2019,110,"https://m.media-amazon.com/images/M/MV5BZDgyMjM4ZmYtYTcyZi00YzhhLTkwNzgtMTVhYTdmNjkxMzIzXkEyXkFqcGc@._V1_.jpg","[""Joe Berlinger""]","[""Elizabeth Kendall"", ""Michael Werwie""]","[""Lily Collins"", ""Zac Efron"", ""Angela Sarafyan"", ""Sydney Vollmer"", ""Macie Carmosino"", ""Ava Inman"", ""Morgan Pyle"", ""James Hetfield"", ""Richard K. Jones"", ""Justin Inman"", ""Grace Victoria Cox"", ""Alan B. Jones"", ""Jeffrey Donovan"", ""Maya Berlinger"", ""Derek Snow"", ""Dylan Baker"", ""Kaya Scodelario"", ""Haley Joel Osment""]","[""United States""]","[""COTA Films"", ""Ninjas Runnin' Wild Productions"", ""Voltage Pictures""]","[""Biography"", ""Crime"", ""Drama""]","[""Docudrama"", ""Period Drama"", ""Serial Killer"", ""True Crime"", ""Whodunnit"", ""Biography"", ""Crime"", ""Drama"", ""Mystery"", ""Thriller""]","[""killer as protagonist"", ""serial killer as protagonist"", ""death penalty"", ""claiming innocence"", ""ted bundy"", ""serial killer"", ""male rear nudity"", ""1980s"", ""strip search"", ""prison visit"", ""courtroom"", ""prison"", ""1970s"", ""escape from prison"", ""jumping out a window"", ""marriage proposal"", ""guilty verdict"", ""sentenced to death"", ""prisoner"", ""based on true story"", ""murder"", ""sex scene"", ""boyfriend girlfriend relationship"", ""orange prison jumpsuit"", ""blue prison jumpsuit"", ""multiple time frames"", ""male protagonist"", ""head cut off"", ""judge"", ""telephone call"", ""male female relationship"", ""fugitive"", ""escape"", ""winking"", ""serial murder"", ""violence"", ""what happened to epilogue"", ""ends with biographical notes"", ""ends with real life footage"", ""punctuation in title"", ""sex in a jail"", ""seattle washington"", ""hypergamy"", ""antagonist as protagonist"", ""ted bundy character"", ""reference to ted bundy"", ""docudrama drama"", ""literature on screen"", ""american literature on screen"", ""crime literature on screen""]","A chronicle of the crimes of Ted Bundy from the perspective of Liz, his longtime girlfriend, who refused to believe the truth about him for years.",6.7,110508,"","[""English""]","","","5 wins & 5 nominations total","https://www.imdb.com/video/vi1726266649/"
"tt2386490","How to Train Your Dragon: The Hidden World","How to Train Your Dragon: The Hidden World",2019,104,"https://m.media-amazon.com/images/M/MV5BMjIwMDIwNjAyOF5BMl5BanBnXkFtZTgwNDE1MDc2NTM@._V1_.jpg","[""Dean DeBlois""]","[""Dean DeBlois"", ""Cressida Cowell""]","[""Jay Baruchel"", ""America Ferrera"", ""F. Murray Abraham"", ""Cate Blanchett"", ""Gerard Butler"", ""Craig Ferguson"", ""Jonah Hill"", ""Christopher Mintz-Plasse"", ""Kristen Wiig"", ""Kit Harington"", ""Justin Rupple"", ""Robin Atkin Downes"", ""Kieron Elliott"", ""Julia Emelin"", ""Gideon Emery"", ""Ashley Jensen"", ""AJ Kane"", ""Ólafur Darri Ólafsson""]","[""United States"", ""Japan""]","[""Dentsu"", ""Fuji Television Network (Fuji TV)"", ""DreamWorks Animation""]","[""Animation"", ""Action"", ""Adventure""]","[""Computer Animation"", ""Teen Fantasy"", ""Action"", ""Adventure"", ""Animation"", ""Comedy"", ""Drama"", ""Family"", ""Fantasy""]","[""how to train your dragon"", ""dragon"", ""sequel"", ""finale"", ""dragon hunter"", ""love interest"", ""kiss"", ""final battle"", ""part of trilogy"", ""part of franchise"", ""sword fight"", ""flaming sword"", ""sword and fantasy"", ""dragon rider"", ""hero"", ""heroine"", ""white dragon"", ""long haired woman"", ""long haired female"", ""cg animation"", ""cgi animation"", ""viking"", ""based on novel"", ""animal in title"", ""overpopulation"", ""no title at beginning"", ""disability"", ""fire"", ""violence"", ""cage"", ""opening action scene"", ""fictional war"", ""sword"", ""fiery sword"", ""hand to hand combat"", ""combat"", ""battle"", ""no opening credits"", ""eight word title"", ""colon in title"", ""warrior"", ""wedding"", ""flying dragon"", ""cave"", ""dragon feature"", ""village"", ""island"", ""mother son relationship"", ""riding"", ""epic battle""]","When Hiccup discovers Toothless isn't the only Night Fury, he must seek the Hidden World, a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",7.4,171741,"","[""English""]","","","","https://www.imdb.com/video/vi1887746585/"
"tt7347846","The Lodge","The Lodge",2020,108,"https://m.media-amazon.com/images/M/MV5BOTRhMDBlOTUtODM1MS00ZDEyLWFlMDAtOTYwMjc1OWVhOTExXkEyXkFqcGc@._V1_.jpg","[""Severin Fiala"", ""Veronika Franz""]","[""Sergio Casci"", ""Veronika Franz"", ""Severin Fiala""]","[""Riley Keough"", ""Jaeden Martell"", ""Lia McHugh"", ""Richard Armitage"", ""Alicia Silverstone"", ""Danny Keough"", ""Lola Skye Reid"", ""Philippe Ménard"", ""Jarred Atkin"", ""Wally the Dog""]","[""United Kingdom"", ""United States""]","[""FilmNation Entertainment"", ""Hammer Films""]","[""Drama"", ""Horror"", ""Mystery""]","[""Folk Horror"", ""Psychological Horror"", ""Psychological Thriller"", ""Suspense Mystery"", ""Tragedy"", ""Drama"", ""Horror"", ""Mystery"", ""Thriller""]","[""mass suicide"", ""suicide"", ""cult leader"", ""brother sister relationship"", ""lodge"", ""snow"", ""winter"", ""religion"", ""suicide of mother"", ""suicide of loved one"", ""loss of mother"", ""frozen lake"", ""breaking through ice"", ""shower"", ""female nudity"", ""nudity"", ""female star appears nude"", ""woman in a shower"", ""parka"", ""vacation gone wrong"", ""psychological horror"", ""female rear nudity"", ""mentally ill person"", ""mentally ill girlfriend"", ""death cult"", ""death of mother"", ""sex"", ""cabin"", ""christmas horror"", ""dog"", ""murder"", ""husband wife separation"", ""ex husband ex wife relationship"", ""divorce"", ""loss of loved one"", ""threatened with a gun"", ""psycho terror"", ""suicide by gunshot"", ""blood spatter"", ""desperate woman"", ""fiance fiancee relationship"", ""boyfriend girlfriend relationship"", ""family relationships"", ""vacation"", ""holiday"", ""title co directed by female"", ""reference to virgin mary"", ""dollhouse"", ""doll"", ""girl"", ""boy"", ""teenage boy"", ""teenager"", ""lying on the floor"", ""husband wife relationship"", ""estrangement"", ""dysfunctional family"", ""drinking wine"", ""shot to death"", ""suicide by shooting"", ""gunshot"", ""shooting"", ""death"", ""death by gunshot"", ""funeral"", ""funeral speech"", ""church"", ""priest"", ""coffin"", ""balloon"", ""death of wife"", ""crying"", ""crying girl"", ""spurting blood"", ""blood"", ""christian"", ""christianity"", ""trauma"", ""traumatized girl"", ""father son relationship"", ""father daughter relationship"", ""overhearing a conversation"", ""locked door"", ""cult"", ""newspaper article"", ""googling for information"", ""christian cult"", ""hearing voices"", ""religious cult"", ""character appears in newspaper"", ""watching a video"", ""dead body"", ""sect"", ""duct taped mouth"", ""duct tape"", ""psychopath"", ""female psychopath"", ""sitting on the floor"", ""dog barks"", ""car trip""]","A soon-to-be stepmom is snowed in with her fiancé's two children at a remote holiday village. Just as relations begin to thaw between the trio, some strange and frightening events take place.",6.0,62930,"","[""English""]","","","2 wins & 11 nominations total","https://www.imdb.com/video/vi1885847321/"
"tt4139588","Polar","Polar",2019,118,"https://m.media-amazon.com/images/M/MV5BZmEzNzU2MDUtZmJiNi00ZGI0LWFiNjItYWQzNGIxY2I2MGZjXkEyXkFqcGc@._V1_.jpg","[""Jonas Åkerlund""]","[""Jayson Rothwell"", ""Víctor Santos""]","[""Mads Mikkelsen"", ""Vanessa Hudgens"", ""Katheryn Winnick"", ""Fei Ren"", ""Ruby O. Fee"", ""Matt Lucas"", ""Robert Maillet"", ""Anthony Grant"", ""Josh Cruddas"", ""Lovina"", ""Ayisha Issa"", ""Pedro Miguel Arce"", ""Stasia Caz"", ""Martin Zolotarev"", ""Richard Dreyfuss"", ""Inga Cadranel"", ""Jill Frappier"", ""Nia Roam""]","[""United States"", ""Germany""]","[""Constantin Film"", ""Dark Horse Entertainment""]","[""Action"", ""Crime"", ""Thriller""]","[""One-Person Army Action"", ""Action"", ""Crime"", ""Thriller""]","[""female nudity"", ""based on comic book"", ""hitman"", ""based on graphic novel"", ""dark horse comics"", ""male nudity"", ""male star appears nude"", ""castration"", ""male rear nudity"", ""nipple piercing"", ""assassin"", ""crime organization"", ""medical doctor"", ""one word title"", ""semi automatic pistol"", ""bladed weapon"", ""physician"", ""gun"", ""knife"", ""male doctor"", ""helicopter"", ""suv"", ""weapon"", ""hotel"", ""male medical doctor"", ""rotorcraft"", ""jeep wrangler"", ""firearm"", ""handheld weapon"", ""male physician"", ""handgun"", ""dog"", ""medical examination"", ""mustached man"", ""doctor"", ""semi automatic weapon"", ""goldfish"", ""sex scene"", ""pistol"", ""five member team"", ""short man"", ""photograph"", ""female assassin"", ""night"", ""view through rifle scope"", ""owl"", ""assassination team"", ""nighttime"", ""assault rifle"", ""mobile phone"", ""bird"", ""black and white photograph"", ""flashback"", ""hatchet"", ""audio communication"", ""axe"", ""gunfire"", ""flare"", ""shot in the shoulder"", ""scoped rifle"", ""smartphone"", ""shot in the head"", ""drill"", ""rifle"", ""lake"", ""shot in the back of the head"", ""sniper rifle"", ""earpiece"", ""shot in the leg"", ""gun with silencer"", ""power drill"", ""sword"", ""detroit michigan"", ""motel"", ""vaping"", ""man wears an earring"", ""cabin"", ""karaoke"", ""male wears an earring"", ""motel room key"", ""apron"", ""reference to william wallace"", ""bar"", ""torture"", ""cigarette smoking"", ""villain"", ""crate"", ""character's point of view camera shot"", ""old man"", ""mansion"", ""shot in the neck"", ""funeral"", ""implied fellatio"", ""black suv"", ""hypodermic syringe"", ""one against many"", ""convoy"", ""montana"", ""stabbed in the eye"", ""submachine gun""]","A retiring assassin suddenly finds himself on the receiving end of a hit, contracted by none other than his own employer seeking to cash in on the pensions of aging employees.",6.3,104725,"","[""English"", ""Russian""]","","","1 nomination total","https://www.imdb.com/video/vi1546435097/"
"tt7533152","The Boy Who Harnessed the Wind","The Boy Who Harnessed the Wind",2019,113,"https://m.media-amazon.com/images/M/MV5BNjM2OTg5MTA0OV5BMl5BanBnXkFtZTgwNTMyNTY0NzM@._V1_.jpg","[""Chiwetel Ejiofor""]","[""Chiwetel Ejiofor"", ""William Kamkwamba"", ""Bryan Mealer""]","[""Chiwetel Ejiofor"", ""Maxwell Simba"", ""Felix Lemburo"", ""Robert Agengo"", ""Fiskan Makawa"", ""Lily Banda"", ""Aïssa Maïga"", ""Fredrick Lukhere"", ""Hestingzi Phiri"", ""Rophium Banda"", ""Philbert Falakeza"", ""Samson Kambalu"", ""Raymond Ofula"", ""Noma Dumezweni"", ""Lemogang Tsipa"", ""Joseph Marcell"", ""Martin Githinji"", ""Melvin Alusa""]","[""United Kingdom"", ""Malawi"", ""United States"", ""Kenya""]","[""BBC Film"", ""BFI Film Fund"", ""Blue Sky Films""]","[""Biography"", ""Drama"", ""History""]","[""Biography"", ""Drama"", ""History""]","[""malawi"", ""famine"", ""rain"", ""windmill"", ""irrigation"", ""based on true story"", ""farming"", ""grain"", ""school library"", ""battery"", ""bicycle"", ""dog"", ""chief"", ""hunger"", ""school expulsion"", ""listening to a radio"", ""book"", ""father son relationship"", ""mother son relationship"", ""mother daughter relationship"", ""death of a dog"", ""death of a chief"", ""grave for a dog"", ""corn"", ""irrigation system"", ""school"", ""classroom"", ""political corruption"", ""school uniform"", ""teenage boy"", ""wind"", ""hoe"", ""planting"", ""junkyard"", ""radio"", ""science class"", ""librarian"", ""africa"", ""father daughter relationship"", ""brother sister relationship"", ""cross"", ""praying"", ""theft"", ""coming of age"", ""rally"", ""demonstration"", ""boyfriend girlfriend relationship"", ""violence"", ""beating"", ""kicking"", ""head injury"", ""stiltwalker"", ""well"", ""crying"", ""schoolteacher"", ""death of father"", ""chichewa the language""]","Against all the odds, a thirteen-year-old boy in Malawi invents an unconventional way to save his family and village from famine.",7.6,49988,"","[""Trivia"", ""Chiwetel Ejiofor"", ""English"", ""Nyanja"", ""Arabic""]","","","5 wins & 6 nominations total","https://www.imdb.com/video/vi2114501145/"
"tt9426210","Weathering with You","Tenki no ko",2020,112,"https://m.media-amazon.com/images/M/MV5BMmJiYWI4ZjktMzgyZS00MjBiLThmOTYtZWJmOTUzOTFkMTFiXkEyXkFqcGc@._V1_.jpg","[""Makoto Shinkai""]","[""Makoto Shinkai""]","[""Kotaro Daigo"", ""Nana Mori"", ""Tsubasa Honda"", ""Sakura Kiryu"", ""Sei Hiraizumi"", ""Yûki Kaji"", ""Sumi Shimamoto"", ""Mei Kazuki"", ""Ryohei Kimura"", ""Kana Hanazawa"", ""Ayane Sakura"", ""Kana Ichinose"", ""Masako Nozawa"", ""Hidekatsu Shibata"", ""Ryûnosuke Kamiki"", ""Mone Kamishiraishi"", ""Ryo Narita"", ""Aoi Yûki""]","[""Japan"", ""China""]","[""\""Weathering With You\"" Film Partners"", ""Beijing Enlight Pictures"", ""China Film Group Corporation (CFGC)""]","[""Animation"", ""Drama"", ""Fantasy"", ""Romance""]","[""Japanese"", ""Adult Animation"", ""Anime"", ""Hand-Drawn Animation"", ""Shōjo"", ""Teen Romance"", ""Animation"", ""Drama"", ""Fantasy"", ""Romance""]","[""love"", ""magic"", ""teenager"", ""raining cats and dogs"", ""anime"", ""weather manipulation"", ""three word title"", ""metaphoric title"", ""falling in love"", ""weather"", ""friend"", ""friendship"", ""male female relationship"", ""boy"", ""girl"", ""japan"", ""magical power"", ""family relationships"", ""rain"", ""sunshine"", ""weather control"", ""surrealism"", ""philosophical conversation"", ""climate crisis"", ""climate change"", ""global warming"", ""brother sister relationship"", ""umbrella"", ""flood"", ""snow"", ""cloud"", ""sky"", ""flooded city"", ""orphan"", ""runaway"", ""father daughter relationship"", ""voice over narration"", ""sanctuary"", ""heavy rain"", ""tokyo japan"", ""shower"", ""gun"", ""thunderstorm"", ""snowing"", ""train"", ""big city life"", ""street life"", ""supernatural power"", ""pistol"", ""japanese police""]","Set during a period of exceptionally rainy weather, high-school boy Hodaka Morishima runs away from his troubled rural home to Tokyo and befriends an orphan girl who can manipulate the weather.",7.5,66277,"","[""Japanese""]","PG-13","suggestive material, some violence and language","6 wins & 13 nominations total","https://www.imdb.com/video/vi291618585/"
